,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,
llama3,full,MAE,0.6089330550572367,full,MAE,0.6398497050847775,full,MAE,0.5762103473488677,,0.6083,$0.61$&
p-3,full,MSE,0.6060040304870218,full,MSE,0.6382918140867427,full,MSE,0.49815935181627097,,0.580833333333333,$0.58$&
test,full,RMSE,0.7784626069934392,full,RMSE,0.7989316704742294,full,RMSE,0.7058040463303331,,0.761066666666667,$0.76$&
,full,MAPE,15.062412431984606,full,MAPE,15.59191246674314,full,MAPE,14.31101927658926,,14.9884333333333,$14.99$&
,full,R2,-1.2423414436698996,full,R2,-1.502055878240002,full,R2,-0.915539430734077,,-1.21996666666667,$-1.22$&
,full,Adjusted_R2,-4.745999949404117,full,Adjusted_R2,-4.7942346653979,full,Adjusted_R2,-3.576010862309184,,-4.37206666666667,$-4.37$&
,full,MPE,6.4960554010621845,full,MPE,8.226110114562015,full,MPE,4.3167503390472435,,6.34633333333333,$6.35$&
,full,MedAE,0.5019817418788552,full,MedAE,0.60977222864644,full,MedAE,0.460184061673395,,0.524,$0.52$&
,full,Theils_U,0.1852811464286751,full,Theils_U,0.19026777288130142,full,Theils_U,0.16823762797991576,,0.181266666666667,$0.18$&
,full,Cochran_Q,2.2423414436698996,full,Cochran_Q,2.502055878240002,full,Cochran_Q,1.915539430734077,,2.21996666666667,$2.22$&
,,,,,,,,,,,0,$0.00$&
,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,#VALUE!,#VALUE!
llama3,full,MAE,0.5134165465968105,full,MAE,0.6000040570333041,full,MAE,0.534921901252149,,0.549433333333333,$0.55$&
p-4,full,MSE,0.3908333646173897,full,MSE,0.6027577225253768,full,MSE,0.47807745866805074,,0.490566666666667,$0.49$&
test,full,RMSE,0.6251666694709417,full,RMSE,0.7763747307359874,full,RMSE,0.6914314562326845,,0.697666666666667,$0.70$&
,full,MAPE,12.72619142227426,full,MAPE,14.785040250049155,full,MAPE,13.337676667432591,,13.6163,$13.62$&
