Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.0721,2.1653,30,434,0.0005,[0.02 0.16]
ICC2,Single random raters,0.0801,2.5178,30,420,0.0,[0.03 0.17]
ICC3,Single fixed raters,0.0919,2.5178,30,420,0.0,[0.04 0.19]
ICC1k,Average raters absolute,0.5382,2.1653,30,434,0.0005,[0.26 0.74]
ICC2k,Average random raters,0.5662,2.5178,30,420,0.0,[0.33 0.75]
ICC3k,Average fixed raters,0.6028,2.5178,30,420,0.0,[0.36 0.78]
