,Test-1,,,Test-2,,,Test-3,,,,,
llama2,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,
,full,MAE,0.6138153624544027,full,MAE,0.8572765861986776,full,MAE,0.7575463658501594,,0.74,$0.74$&
,full,MSE,0.5736882376685066,full,MSE,1.1527782709079053,full,MSE,0.771938349389344,,0.83,$0.83$&
,full,RMSE,0.7574221000660771,full,RMSE,1.0736751235396604,full,RMSE,0.8786002215964573,,0.90,$0.90$&
,full,MAPE,14.666625153719137,full,MAPE,20.91094766373031,full,MAPE,18.530379093093703,,18.04,$18.04$&
,full,R2,-1.1249481900597078,full,R2,-3.518804072647087,full,R2,-1.8405685560860081,,-2.16,$-2.16$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,full,MedAE,0.4520525295346598,full,MedAE,0.6904157598234297,full,MedAE,0.6904157598234297,,0.61,$0.61$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0.00,$0.00$&
mistral,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,Err:502,Err:502
,full,MAE,0.6157342779094831,full,MAE,0.6675158108898677,full,MAE,0.7140468968444785,,0.67,$0.67$&
,full,MSE,0.5557688107764291,full,MSE,0.681497510812724,full,MSE,0.7986667918746968,,0.68,$0.68$&
,full,RMSE,0.7454990347253504,full,RMSE,0.8255286250716712,full,RMSE,0.8936815942351598,,0.82,$0.82$&
,full,MAPE,15.394573925775001,full,MAPE,16.890239976581384,full,MAPE,18.331016826892938,,16.87,$16.87$&
,full,R2,-1.0786133967200318,full,R2,-1.6036853207159947,full,R2,-2.13727694106208,,-1.61,$-1.61$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,full,MedAE,0.5276925690687104,full,MedAE,0.47627091468900007,full,MedAE,0.5121091925771701,,0.51,$0.51$&
