Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.1898,2.1716,44,180,0.0002,[0.07 0.34],,$0.19$&,"$[0.07, 0.34]$"
ICC2,Single random raters,0.1886,2.1513,44,176,0.0002,[0.07 0.34],,$0.19$&,"$[0.07, 0.34]$"
ICC3,Single fixed raters,0.1872,2.1513,44,176,0.0002,[0.07 0.34],,$0.19$&,"$[0.07, 0.34]$"
ICC1k,Average raters absolute,0.5395,2.1716,44,180,0.0002,[0.29 0.72],,$0.54$&,"$[0.29, 0.72]$"
ICC2k,Average random raters,0.5375,2.1513,44,176,0.0002,[0.28 0.72],,$0.54$&,"$[0.28, 0.72]$"
ICC3k,Average fixed raters,0.5352,2.1513,44,176,0.0002,[0.28 0.72],,$0.54$&,"$[0.28, 0.72]$"
