Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.3939,2.9498,44,90,0.0,[0.21 0.57],,$0.39$&,"$[0.21, 0.57]$"
ICC2,Single random raters,0.3924,2.9149,44,88,0.0,[0.21 0.57],,$0.39$&,"$[0.21, 0.57]$"
ICC3,Single fixed raters,0.3896,2.9149,44,88,0.0,[0.21 0.57],,$0.39$&,"$[0.21, 0.57]$"
ICC1k,Average raters absolute,0.661,2.9498,44,90,0.0,[0.45 0.8 ],,$0.66$&,"$[0.45, 0.8, ]$"
ICC2k,Average random raters,0.6596,2.9149,44,88,0.0,[0.44 0.8 ],,$0.66$&,"$[0.44, 0.8, ]$"
ICC3k,Average fixed raters,0.6569,2.9149,44,88,0.0,[0.44 0.8 ],,$0.66$&,"$[0.44, 0.8, ]$"
