Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.0471,1.5441,44,450,0.0169,[0.   0.12],,$0.05$&,"$[0., , , 0.12]$"
ICC2,Single random raters,0.0858,3.017,44,440,0.0,[0.04 0.16],,$0.09$&,"$[0.04, 0.16]$"
ICC3,Single fixed raters,0.155,3.017,44,440,0.0,[0.08 0.26],,$0.16$&,"$[0.08, 0.26]$"
ICC1k,Average raters absolute,0.3524,1.5441,44,450,0.0169,[0.03 0.6 ],,$0.35$&,"$[0.03, 0.6, ]$"
ICC2k,Average random raters,0.508,3.017,44,440,0.0,[0.3  0.68],,$0.51$&,"$[0.3, , 0.68]$"
ICC3k,Average fixed raters,0.6685,3.017,44,440,0.0,[0.5 0.8],,$0.67$&,"$[0.5, 0.8]$"
