Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.7324,9.2093,44,90,0.0,[0.61 0.83],,$0.73$&,"$[0.61, 0.83]$"
ICC2,Single random raters,0.7325,9.278,44,88,0.0,[0.61 0.83],,$0.73$&,"$[0.61, 0.83]$"
ICC3,Single fixed raters,0.734,9.278,44,88,0.0,[0.61 0.83],,$0.73$&,"$[0.61, 0.83]$"
ICC1k,Average raters absolute,0.8914,9.2093,44,90,0.0,[0.82 0.94],,$0.89$&,"$[0.82, 0.94]$"
ICC2k,Average random raters,0.8915,9.278,44,88,0.0,[0.82 0.94],,$0.89$&,"$[0.82, 0.94]$"
ICC3k,Average fixed raters,0.8922,9.278,44,88,0.0,[0.82 0.94],,$0.89$&,"$[0.82, 0.94]$"
