Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.1559,2.108,44,225,0.0002,[0.06 0.29],,$0.16$&,"$[0.06, 0.29]$"
ICC2,Single random raters,0.2229,5.4441,44,220,0.0,[0.08 0.4 ],,$0.22$&,"$[0.08, 0.4, ]$"
ICC3,Single fixed raters,0.4255,5.4441,44,220,0.0,[0.3  0.57],,$0.43$&,"$[0.3, , 0.57]$"
ICC1k,Average raters absolute,0.5256,2.108,44,225,0.0002,[0.27 0.71],,$0.53$&,"$[0.27, 0.71]$"
ICC2k,Average random raters,0.6325,5.4441,44,220,0.0,[0.34 0.8 ],,$0.63$&,"$[0.34, 0.8, ]$"
ICC3k,Average fixed raters,0.8163,5.4441,44,220,0.0,[0.72 0.89],,$0.82$&,"$[0.72, 0.89]$"
