Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.0306,1.1262,44,135,0.2984,[-0.08  0.18],,$0.03$&,"$[-0.08, , 0.18]$"
ICC2,Single random raters,0.1282,2.0934,44,132,0.0007,[0.02 0.28],,$0.13$&,"$[0.02, 0.28]$"
ICC3,Single fixed raters,0.2147,2.0934,44,132,0.0007,[0.08 0.39],,$0.21$&,"$[0.08, 0.39]$"
ICC1k,Average raters absolute,0.1121,1.1262,44,135,0.2984,[-0.4   0.47],,$0.11$&,"$[-0.4, , , 0.47]$"
ICC2k,Average random raters,0.3704,2.0934,44,132,0.0007,[0.07 0.6 ],,$0.37$&,"$[0.07, 0.6, ]$"
ICC3k,Average fixed raters,0.5223,2.0934,44,132,0.0007,[0.25 0.72],,$0.52$&,"$[0.25, 0.72]$"
