Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,-0.0007,0.9986,44,45,0.5014,[-0.29  0.29]
ICC2,Single random raters,0.0,1.0,44,44,0.5,[-0.29  0.29]
ICC3,Single fixed raters,0.0,1.0,44,44,0.5,[-0.29  0.29]
ICC1k,Average raters absolute,-0.0014,0.9986,44,45,0.5014,[-0.81  0.45]
ICC2k,Average random raters,0.0,1.0,44,44,0.5,[-0.82  0.45]
ICC3k,Average fixed raters,0.0,1.0,44,44,0.5,[-0.82  0.45]
