Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.0867,1.7594,43,308,0.0036,[0.02 0.19]
ICC2,Single random raters,0.0863,1.7532,43,301,0.0039,[0.02 0.19]
ICC3,Single fixed raters,0.086,1.7532,43,301,0.0039,[0.02 0.19]
ICC1k,Average raters absolute,0.4316,1.7594,43,308,0.0036,[0.14 0.65]
ICC2k,Average random raters,0.4305,1.7532,43,301,0.0039,[0.13 0.65]
ICC3k,Average fixed raters,0.4296,1.7532,43,301,0.0039,[0.13 0.65]
