Type,Description,ICC,F,df1,df2,pval,CI95%,,,
ICC1,Single raters absolute,0.4088,3.7662,44,135,0.0,[0.26 0.57],,$0.41$&,"$[0.26, 0.57]$"
ICC2,Single random raters,0.4087,3.7589,44,132,0.0,[0.26 0.57],,$0.41$&,"$[0.26, 0.57]$"
ICC3,Single fixed raters,0.4082,3.7589,44,132,0.0,[0.26 0.57],,$0.41$&,"$[0.26, 0.57]$"
ICC1k,Average raters absolute,0.7345,3.7662,44,135,0.0,[0.58 0.84],,$0.73$&,"$[0.58, 0.84]$"
ICC2k,Average random raters,0.7343,3.7589,44,132,0.0,[0.58 0.84],,$0.73$&,"$[0.58, 0.84]$"
ICC3k,Average fixed raters,0.734,3.7589,44,132,0.0,[0.58 0.84],,$0.73$&,"$[0.58, 0.84]$"
