Lexical Feature,Spearman Correlation,p-value
POS_numNouns,0.06542654209926728,0.6693778325324776
POS_numProperNouns,0.013774462574776838,0.9284414721907184
POS_numPronouns,0.07403773633942551,0.6288483611576254
POS_numConjunct,-0.010330506647252729,0.9463024410174957
POS_numAdjectives,-0.09297455982527456,0.5435459424435194
POS_numVerbs,-0.1377400886300364,0.3668982639207744
POS_numAdverbs,-0.04993242683356605,0.7446252868270948
POS_numModals,,
POS_numPrepositions,0.15840110192454185,0.29868159715162723
POS_numInterjections,0.21615334146937107,0.15383372963938907
POS_numPerPronouns,0.07403773633942551,0.6288483611576254
POS_numWhPronouns,,
POS_numLexicals,-0.1446318570351568,0.34317296761655347
POS_numFunctionWords,0.2376016528868128,0.11603660209528167
POS_numDeterminers,0.055096035452014545,0.7192448582476271
POS_numVerbsVB,-0.14118359084578727,0.35492310666165616
POS_numVerbsVBG,,
POS_numVerbsVBN,0.055096035452014545,0.7192448582476271
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.02066169386216526,0.8928357649475482
POS_adjVar,-0.07403773633942551,0.6288483611576254
POS_modVar,-0.0344350221575091,0.8223189649392236
POS_nounVar,0.12052654752929734,0.4303188796319274
POS_verbVar1,0.18251764139089616,0.23013031654815794
POS_verbVar2,-0.07920055096227092,0.6050470140621544
POS_squaredVerbVar1,-0.02410530950585947,0.8751063721083726
POS_correctedVV1,-0.02410530950585947,0.8751063721083726
POS_numNouns,-0.014116982745854248,0.9266668579782864
POS_numProperNouns,-0.028234895510171183,0.8539254827371374
POS_numPronouns,-0.15352724433655582,0.31398470454779415
POS_numConjunct,-0.0952896335345162,0.5335119982361727
POS_numAdjectives,-0.024704719805244937,0.8720262408902193
POS_numVerbs,0.03529245686463563,0.8179686365713218
POS_numAdverbs,-0.019411490663242686,0.899285680626731
POS_numModals,,
POS_numPrepositions,0.18352077569610523,0.22753504047255907
POS_numInterjections,0.21036571534834814,0.16542868311788164
POS_numPerPronouns,-0.15352724433655582,0.31398470454779415
POS_numWhPronouns,,
POS_numLexicals,0.03882298132648537,0.8001142352103326
POS_numFunctionWords,-0.04940943961048987,0.7472114011261894
POS_numDeterminers,-0.042350948237562754,0.7823728585262255
POS_numVerbsVB,-0.04940943961048987,0.7472114011261894
POS_numVerbsVBG,,
POS_numVerbsVBN,0.1588160558908603,0.2974012926587509
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.02999957647955688,0.8449043266039102
POS_adjVar,-0.02999957647955688,0.8449043266039102
POS_modVar,-0.003529245686463562,0.9816433055804099
POS_nounVar,0.017646809693856992,0.9084006722015943
POS_verbVar1,0.29118195171185507,0.052303997260767766
POS_verbVar2,0.042350948237562754,0.7823728585262255
POS_squaredVerbVar1,0.1835268208161127,0.22751946198634834
POS_correctedVV1,0.1835268208161127,0.22751946198634834
POS_numNouns,0.0,1.0
POS_numProperNouns,-0.4565138841660977,0.0016212708467628182
POS_numPronouns,-0.18797630524486375,0.21625129338488144
POS_numConjunct,0.02237739447202196,0.88399550491601
POS_numAdjectives,0.13426436683213175,0.37922857841148205
POS_numVerbs,0.02685287336642635,0.8610034114353345
POS_numAdverbs,-0.18797630524486375,0.21625129338488144
POS_numModals,,
POS_numPrepositions,0.05818122562725708,0.7042197009902735
POS_numInterjections,-0.2219126156605909,0.14289846436236056
POS_numPerPronouns,-0.18797630524486375,0.21625129338488144
POS_numWhPronouns,,
POS_numLexicals,-0.08951252630707798,0.5587179593103372
POS_numFunctionWords,-0.1118869723601098,0.46432600371458654
POS_numDeterminers,0.08503409899368344,0.5786335806301339
POS_numVerbsVB,-0.04027931004963953,0.7927780612577471
POS_numVerbsVBG,,
POS_numVerbsVBN,0.05818122562725708,0.7042197009902735
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.1902141184025407,0.2107330831589068
POS_adjVar,0.14545785524900173,0.34039435449339395
POS_modVar,-0.06713218341606587,0.6612712338691433
POS_nounVar,0.03804282368050814,0.8040512876651926
POS_verbVar1,-0.1007049093946284,0.5103996925549452
POS_verbVar2,0.04027931004963953,0.7927780612577471
POS_squaredVerbVar1,0.134268789460617,0.37921273436691116
POS_correctedVV1,0.134268789460617,0.37921273436691116
POS_numNouns,,
POS_numProperNouns,,
POS_numPronouns,,
POS_numConjunct,,
POS_numAdjectives,,
POS_numVerbs,,
POS_numAdverbs,,
POS_numModals,,
POS_numPrepositions,,
POS_numInterjections,,
POS_numPerPronouns,,
POS_numWhPronouns,,
POS_numLexicals,,
POS_numFunctionWords,,
POS_numDeterminers,,
POS_numVerbsVB,,
POS_numVerbsVBG,,
POS_numVerbsVBN,,
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,,
POS_adjVar,,
POS_modVar,,
POS_nounVar,,
POS_verbVar1,,
POS_verbVar2,,
POS_squaredVerbVar1,,
POS_correctedVV1,,
