,length,redundancy,topic,structure,languageLVL,passiveV,negLang,metaphor,discours,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
mean,1.7555555555555555,1.588235294117647,1.6,1.2444444444444445,1.5777777777777777,1.4444444444444444,1.3777777777777778,1.8222222222222222,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,0.4346134936801766,0.4995541684356421,0.5393598899705937,0.5703091488416836,0.4994946941609587,0.5025189076296063,0.49031014715590004,0.3866457674602808,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,0.2439494145123995,0.011952532750472181,0.03555892011501067,0.04628665247427163,0.06821910400050513,0.16625465698339761,0.1082060060462479,0.0,0.18358352269095815,0.0015549290739265368,0.03555892011501067,0.0,0.5866291815425502,0.5215768245036979,0.14638679410328284,0.143749916701823,0.0,0.022504740281574537,0.0,0.0,0.18324709035758963,0.11615016966284006,0.29939726002042977,0.4170436330070707,1.2921241008624322,0.28355910697249953,91.26980022598309,6.718821199650652,0.0,0.4404702400046517,0.5031337470788085,8.540492297664507,0.0,4.809532484986805,5.820526869084678,104.53396016803154,0.023712696260749677,0.3918461933911516,0.5541542010580375,0.40630684962723024,41.87535031240522,0.73118704914586,0.12661672567619636,0.03534628077881092,19.77431906614786,0.18220705728647194,0.041355982727174334,1.0,540.8253358925144,19.699520153550864,24.417370441458736,3.149884836852207,2.1988291746641075,0.18205374280230324,0.5407869481765835,0.8608829174664108,21.702207293666028,2.910134357005758,2.8840499040307104,1.965777351247601,2.4906525911708255,2.1162188099808064,0.6559692898272552,10.137965451055662,4.3817850287907865,2.2028598848368524,0.0,,,,,,,,,,,,,,,,,,,,,,,0.1579413598031363,0.5399764665967979,0.02691339500756494,0.5399764665967979,0.02691339500756494,0.0,0.0,0.0,0.0,0.05241375614574987
std,,,,,,,,,,0.02787530230283138,0.015612310313515919,0.012009699629600636,0.010425178250678605,0.012608691969924698,0.016980267251459878,0.035734442545496334,0.0,0.022244716289622646,0.0022368488927984836,0.012009699629600636,0.0,0.023253623561349437,0.028195207468300554,0.027206351339269595,0.018050409516344897,0.0,0.009338759867983507,0.0,0.0,0.05630913135790038,0.020475073010082216,0.05545133055622239,0.05405830495095574,0.09746839832650059,0.02857188852768259,17.92816990805896,0.7023542772141681,0.0,0.1278611959531485,0.1224965858183255,9.969164382891268,0.0,1.2597795453111795,1.3052764514958362,29.41589192555451,0.003037024019273984,0.02575705500294468,0.036425976511954096,0.008747744863233172,5.731113267485404,0.8521046275942582,0.14879587716944778,0.007903167908240244,5.062536985001597,0.06898531321460193,0.04506446380309709,0.0,67.05857235349463,36.70925987194821,4.1421492232305255,0.9990951609121596,1.2811051312445252,0.19072081133265859,0.3787488952795468,0.9208503530996641,4.764699433900128,1.070858112589195,0.8509471586036171,0.6677457919297511,0.8894356228260314,0.8827263830965607,0.3384430855136451,1.802267078399039,1.8182784757118424,0.7751223709488497,0.0,,,,,,,,,,,,,,,,,,,,,,,0.06470082662073283,0.5248531660252476,0.008913580803468794,0.5248531660252476,0.008913580803468794,0.0,0.0,0.0,0.0,0.0819690710348105
