,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
length,-0.08285601738240682,-0.025103473506751305,0.03310843005341906,0.05558891623167097,0.09761925161163107,-0.052929591171113864,0.09634776298678158,,-0.005077814961451312,0.2628778810220703,0.03310843005341906,,0.04709630575654295,0.06303944339733984,-0.13308810683381808,0.09276419018244288,,-0.26068627434755426,,,0.09698646165100366,0.09420574299202755,0.1325378832296329,-0.09119288567716274,0.06520846718003792,-0.05647468507258974,-0.032307066399105085,-0.017062046370613874,,-0.09019647704640958,-0.060260021098302315,0.05794240100306292,,-0.16197556383449327,-0.15143104643855335,0.05443233065508537,0.0569018806169604,0.11253155823262194,0.11253155823262319,0.13697415673649854,0.023622402952415102,0.016663904958143103,-0.10264000795779464,0.09897298959401554,0.06540179111752993,-0.08512061946864433,0.23539780840739036,0.033176172359080734,0.0017210452601005306,0.05626566697019041,0.0017210452601005306,0.05626566697019041,,,,,-0.01885006246645143
redundancy,-0.08229722065571958,-0.11017664511555249,0.14698430140495145,-0.032974651785706535,0.0440462840084,0.04110884932750096,0.06338115317703676,,-0.15551483155855847,0.27442599615862,0.14698430140495145,,0.060156331494193145,0.0005801899018060867,-0.048696834717310275,0.10121713728550177,,-0.11468326585421419,,,0.05376879326067413,0.03251232569780243,0.06260461981865975,-0.09403442452373995,0.2411929132213386,0.038448731407388775,0.1391074544438829,0.1341952404124326,,-0.047114338046049364,-0.06850709415689676,0.041912568138839326,,0.1730813336327363,0.10894894757794608,0.025599465722672667,0.04986173979871339,0.13924672861472043,0.13924672861472165,0.16260213940145463,-0.17527594723834422,-0.15153485982263612,-0.16978355105282625,-0.018801575181549048,0.022192969812830445,0.03184052132168003,-0.08166847990616564,0.14533838357431914,0.009390504182260223,0.1482149581542297,0.009390504182260223,0.1482149581542297,,,,,-0.07823087768433937
topic,-0.032282468357306825,-0.22455199962035835,0.08240528190264909,-0.059416359240767776,0.00036076936048198886,0.1474425108633823,-0.2692735003045182,,-0.11739962628463205,0.026567073296982154,0.08240528190264909,,-0.17342171841304993,-0.1269468860500424,0.27124202066555125,0.24308734411544555,,-0.17748790370400438,,,-0.265790913757658,0.02302837915806157,-0.1907099434494541,0.03949845451529049,0.006267834765690679,0.19572172501952353,0.1299894256210293,0.1407941443122448,,0.15204028547078824,0.11852351437208344,0.024553981906219303,,-0.001527040328976015,-0.021754663492563497,0.07011024895650672,-0.0543113256638593,-0.019486359084704818,-0.019486359084702712,-0.011903933763032925,0.32117137631728593,-0.009103469402507433,0.10741525573663283,-0.05351743564991053,-0.042584562188959244,0.1546072717409438,0.0358909303429169,0.04817784857041457,0.17888071989876395,0.10647503381897049,0.17888071989876395,0.10647503381897049,,,,,-0.23349522460580488
structure,0.0909837967746076,-0.18672856382174638,0.08366350754592063,0.13900417280887534,-0.07510536413783903,0.10816952147024578,-0.36033908654236435,,-0.142939005029062,-0.15821144973114404,0.08366350754592063,,-0.24375959291758692,-0.15611014860581057,0.2648223003943866,0.10122743744844397,,0.008737359081709565,,,-0.35775054679535573,-0.051682526533215124,-0.3074141263976032,0.1700864203707904,-0.05747093298996535,0.18269193663999456,0.08601184083260871,0.09205581760229091,,-0.008214015642890272,-0.013960164000997559,-0.11070362691183509,,-0.023962400483373086,-0.046717010522482,-0.05735259394926755,-0.01632031200705025,-0.012381726283265771,-0.012381726283266921,-0.008236626716812492,0.34376635775825726,0.1349764834714065,0.2535015741952651,0.18010318827108113,0.15847123077987868,0.06261617598608685,0.06091401854872846,0.03105632270916115,0.15208039316318586,0.11370896803353968,0.15208039316318586,0.11370896803353968,,,,,-0.22479593620693197
languageLVL,0.10089473244516965,-0.28454936238707673,0.10591984070061404,0.02867314113741282,-0.10087014490146337,-0.08418980221376605,-0.2794805714185033,,-0.007244455184287219,-0.12190387619524186,0.10591984070061404,,-0.3529740028371667,0.07200931696850252,0.31965425460398916,0.06232916927328559,,-0.2610831732848518,,,-0.24806707959769322,-0.0625193815793993,-0.2295324330119215,0.21877422553978892,-0.18246602354826674,0.02187516749768367,-0.08189548351768344,-0.07173552438620233,,0.011855846754546213,0.07714910556569847,-0.03476916450411365,,0.03260615908516856,0.04510276774716455,-0.030890432494838096,-0.03945337742933005,-0.07225452451591498,-0.07225452451591141,-0.07868904114171044,0.285640566858225,0.04577334535004399,0.25643452560354346,0.06627541701428416,0.027660440937346268,0.22728176025546865,-0.009009934397033969,0.033090542057628215,0.18786401469490308,0.14159101499514637,0.18786401469490308,0.14159101499514637,,,,,-0.33414002736947734
passiveV,0.04079507858325881,-0.007499508920135086,0.17076407800156584,-0.057077130948645,-0.053409372718627335,-0.1463568854015756,-0.06401260215619393,,0.08815637782074452,0.2328803655435383,0.17076407800156584,,-0.20846216795521455,0.1668250121321306,0.05047596754525778,-0.11713135265307391,,-0.04755927300770471,,,-0.039341853149564364,-0.022856768925320226,-0.044341770327129354,0.11124182099407273,0.195696254821319,-0.08185417291028539,-0.04806058240939085,-0.04714865124810224,,-0.07084497868815523,-0.03286120024077606,0.17571321715555532,,-0.0104951840148512,-0.002068844756295411,0.11114100097186932,0.09079248436139643,0.12801658618291697,0.12801658618291692,0.14932987548641571,-0.05296295648579494,-0.018733353735754694,-0.06056242005772037,-0.020130129942136067,-0.029770548770424864,-0.04896259426930606,-0.008166347345061208,0.15460564191292117,0.14751113783547942,0.17679524154504891,0.14751113783547942,0.17679524154504891,,,,,-0.014914207019218908
negLang,-0.027614691135765205,-0.07197192146235033,-0.061869156985878165,-0.12091286694025283,0.02929950378636763,0.049236764194815895,-0.04480209488351433,,0.1501576369798686,0.20060349985248221,-0.061869156985878165,,-0.0038155518530745315,-0.050616985370357456,-0.028087473604969337,-0.04238987368582677,,0.1633891160594056,,,-0.05313695136270793,0.03741260352171528,-0.0179992723983264,-0.024314898446402153,0.2951558284335972,0.05346767871650193,0.20881324817736283,0.1984473326053609,,-0.0004978155457458528,-0.017428838368076623,0.06264519680377297,,0.09189078393737206,0.10619776032474033,0.07383430967651973,-0.06604451048057788,-0.013300124501791239,-0.01330012450179223,0.00799940886034773,-0.05897180680951336,-0.07484519571616996,-0.13884319055982658,-0.10014983617271105,-0.015435400263674409,-0.07318238773990526,0.007055160048032808,-0.05352106688505577,-0.07303551801138689,-0.06964252743093678,-0.07303551801138689,-0.06964252743093678,,,,,-0.058497958181805615
metaphor,-0.004606594447879918,-0.40116511146477385,-0.05463172144788006,0.02395234279628918,0.13272235841111327,0.022918249368541414,-0.1939303681120561,,0.04802950727130955,-0.23165393712537355,-0.05463172144788006,,-0.0767287914606673,-0.14817021267042052,0.09011779976975623,-0.020216011347723953,,0.07692633079160673,,,-0.1977698304677867,0.15324572050519955,-0.058402487759403016,0.022843759230693834,-0.013171995009657605,0.04652471473983373,0.15398079935823927,0.14132026571812342,,-0.15118875168319224,-0.09767819037090114,0.01053651503562348,,-0.025095312648209918,-0.005876517134804613,-0.025991818379160547,-0.142662561169995,-0.1212367322266443,-0.1212367322266427,-0.11540592473556843,0.2683234012779728,-0.04279962867953732,-0.08341030714699764,0.04833642156182048,0.08512334233221931,-0.07822295053522782,0.16095253886578828,-0.08087187892685192,-0.09758957236438921,-0.026615580730109757,-0.09758957236438921,-0.026615580730109757,,,,,-0.42191078921053415
discours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
