Slice,Metric,Value,,
full,MAE,0.8508661110134166,,$0.85$&
full,MSE,0.925200434930246,,$0.93$&
full,RMSE,0.9618733985978851,,$0.96$&
full,MAPE,20.081060113411116,,$20.08$&
full,R2,-2.5461952476981553,,$-2.55$&
,,,,
,,,,
full,MedAE,0.6968455021364699,,$0.70$&
