ID,WC,WPS,BigWords
CVL04,499,17.21,20.44
BRE03,649,14.75,25.12
GRE07,466,20.26,18.03
OCM05,608,12.16,22.2
BRE16,583,13.88,25.56
PES08,481,15.03,28.9
GRE03,430,14.83,29.07
SOU10,566,18.87,24.56
SOU05,482,14.61,22.82
GRE02,436,15.57,29.59
PES06,487,19.48,29.98
nOR03,659,15.69,20.18
UPS11,434,11.73,28.11
PES07,478,17.7,30.96
BRE02,527,18.82,24.1
nOR10,420,13.55,20.71
HES07,577,20.61,22.01
LDV09,489,18.11,22.7
OCM09,504,14.4,21.03
LRE05,520,21.67,22.12
BFC03,337,17.74,22.26
LRE04,537,17.9,22.72
BRE10,597,22.96,22.28
HES03,381,17.32,21.52
CVL01,414,23,18.12
LDV02,655,15.23,21.22
UPS15,504,16.26,24.4
LYO14,528,17.03,22.54
LOR08,524,17.47,22.33
LYO09,584,17.7,21.4
SOU02,537,10.74,18.44
GRE01,495,20.63,24.24
OCM04,530,16.06,20.75
