Slice,Metric,Value,,
full,MAE,0.6026917416763113,,$0.60$&
full,MSE,0.5404218687399516,,$0.54$&
full,RMSE,0.7351339121139437,,$0.74$&
full,MAPE,15.451965658998962,,$15.45$&
full,R2,-1.1184130574271878,,$-1.12$&
,,,,
,,,,
full,MedAE,0.4440972086577899,,$0.44$&
