Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.2221,1.8568,44,90,0.0068,[0.04 0.42]
ICC2,Single random raters,0.232,1.9533,44,88,0.0039,[0.06 0.43]
ICC3,Single fixed raters,0.2411,1.9533,44,88,0.0039,[0.06 0.44]
ICC1k,Average raters absolute,0.4614,1.8568,44,90,0.0068,[0.12 0.69]
ICC2k,Average random raters,0.4754,1.9533,44,88,0.0039,[0.16 0.69]
ICC3k,Average fixed raters,0.4881,1.9533,44,88,0.0039,[0.16 0.7 ]
