Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.7685,10.959,42,86,0.0,[0.65 0.86]
ICC2,Single random raters,0.7682,10.7783,42,84,0.0,[0.65 0.86]
ICC3,Single fixed raters,0.7652,10.7783,42,84,0.0,[0.65 0.86]
ICC1k,Average raters absolute,0.9088,10.959,42,86,0.0,[0.85 0.95]
ICC2k,Average random raters,0.9086,10.7783,42,84,0.0,[0.85 0.95]
ICC3k,Average fixed raters,0.9072,10.7783,42,84,0.0,[0.85 0.95]
