Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.7079,5.8475,44,45,0.0,[0.53 0.83]
ICC2,Single random raters,0.7073,5.7688,44,44,0.0,[0.52 0.83]
ICC3,Single fixed raters,0.7045,5.7688,44,44,0.0,[0.52 0.83]
ICC1k,Average raters absolute,0.829,5.8475,44,45,0.0,[0.69 0.91]
ICC2k,Average random raters,0.8286,5.7688,44,44,0.0,[0.69 0.91]
ICC3k,Average fixed raters,0.8267,5.7688,44,44,0.0,[0.68 0.9 ]
