Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.0003,1.001,44,90,0.4865,[-0.15  0.19]
ICC2,Single random raters,0.0,1.0,44,88,0.4884,[-0.15  0.19]
ICC3,Single fixed raters,0.0,1.0,44,88,0.4884,[-0.15  0.19]
ICC1k,Average raters absolute,0.001,1.001,44,90,0.4865,[-0.63  0.42]
ICC2k,Average random raters,0.0,1.0,44,88,0.4884,[-0.64  0.42]
ICC3k,Average fixed raters,0.0,1.0,44,88,0.4884,[-0.64  0.42]
