Slice,Metric,Value
full,MAE,0.6051694651120916
full,MSE,0.7441650010820899
full,RMSE,0.8626499875859791
full,MAPE,15.256874148513738
full,R2,-1.8335737202653082
full,Adjusted_R2,-2.2025286317581867
full,MPE,5.479788399836275
full,MedAE,0.4298971737906603
full,Theils_U,0.20847232750426786
full,Cochran_Q,2.833573720265308
