Slice,Metric,Value
full,MAE,0.7959860040740907
full,MSE,1.1593073037238197
full,RMSE,1.0767113372319528
full,MAPE,20.320628966138678
full,R2,-3.666829055268086
full,Adjusted_R2,-4.192372867798276
full,MPE,-2.8746956483488137
full,MedAE,0.6154582032637801
full,Theils_U,0.26008909646902956
full,Cochran_Q,4.666829055268086
