Slice,Metric,Value,,
full,MAE,0.5970367891400723,,$0.60$&
full,MSE,0.5614482524220836,,$0.56$&
full,RMSE,0.74929850688633,,$0.75$&
full,MAPE,15.23703738622564,,$15.24$&
full,R2,-1.200834899175668,,$-1.20$&
,,,,
,,,,
full,MedAE,0.4440972086577899,,$0.44$&
